Band,MJD,Flux,Error,Telescope
V,58805.62849,1.20153885,0.023703227,UVOT
HX,58805.62878,1.041923,0.071153,XRT
SX,58805.62878,0.576562,0.052552,XRT
M2,58805.62963,4.3967647,0.10784409,UVOT
W1,58805.63042,3.6828417,0.077003246,UVOT
U,58805.63119,2.597589,0.051125045,UVOT
B,58805.63199,1.5395774,0.030106688,UVOT
W2,58806.50507,5.03515,0.065174373,UVOT
V,58806.50786,1.1726692,0.02031647,UVOT
HX,58806.50849,1.088359,0.068387,XRT
SX,58806.50849,0.504176,0.0466,XRT
M2,58806.50955,4.4669008,0.09237802,UVOT
W1,58806.5107,3.6193037,0.0648279,UVOT
U,58806.51185,2.6526997,0.045493557,UVOT
B,58806.51304,1.5180738,0.025373528,UVOT
W2,58807.5568,5.1769837,0.065260156,UVOT
V,58807.55986,1.2093209,0.020219817,UVOT
HX,58807.56066,1.240493,0.064154,XRT
SX,58807.56066,0.635033,0.045929,XRT
M2,58807.56171,4.419418,0.08861225,UVOT
W1,58807.56296,3.7783656,0.064914323,UVOT
U,58807.56422,2.6445167,0.044131695,UVOT
B,58807.56564,1.4926994,0.02293777,UVOT
W2,58808.3489,5.2321947,0.066944037,UVOT
V,58808.35176,1.202321,0.020565612,UVOT
HX,58808.35225,1.048762,0.077703,XRT
SX,58808.35225,0.525829,0.055068,XRT
M2,58808.35349,4.511907,0.09233383,UVOT
W1,58808.35467,3.794215,0.066765434,UVOT
U,58808.35583,2.6629642,0.045374274,UVOT
B,58808.35691,1.5401241,0.027977448,UVOT
W2,58809.55477,5.3813582,0.066326147,UVOT
V,58809.55807,1.1804179,0.019409162,UVOT
HX,58809.55881,0.875078,0.042675,XRT
SX,58809.55881,0.410041,0.029217,XRT
M2,58809.56007,4.414682,0.086148137,UVOT
W1,58809.56141,3.8327275,0.06392885,UVOT
U,58809.56276,2.61198,0.042651801,UVOT
B,58809.56417,1.527776,0.023931542,UVOT
W2,58810.14208,5.1732825,0.0675218,UVOT
V,58810.14474,1.2084729,0.021137642,UVOT
HX,58810.14542,0.994321,0.063196,XRT
SX,58810.14542,0.441504,0.042142,XRT
M2,58810.14636,4.5101035,0.09505892,UVOT
W1,58810.14745,3.7619393,0.068211616,UVOT
U,58810.14853,2.641237,0.0460807,UVOT
B,58810.14977,1.5189611,0.02442705,UVOT
W2,58814.26688,5.074911,0.064611287,UVOT
V,58814.26985,1.19350305,0.02017536,UVOT
HX,58814.27058,1.029291,0.050951,XRT
SX,58814.27058,0.470685,0.034566,XRT
M2,58814.27165,4.5807894,0.09200083,UVOT
W1,58814.27287,3.7146274,0.064684433,UVOT
U,58814.27409,2.6151695,0.044030506,UVOT
B,58814.27542,1.4781067,0.023395354,UVOT
W2,58815.26321,5.0968425,0.064363625,UVOT
V,58815.26627,1.2092639,0.020194903,UVOT
HX,58815.26699,0.820227,0.043876,XRT
SX,58815.26699,0.452011,0.032664,XRT
M2,58815.26813,4.3034942,0.08693122,UVOT
W1,58815.26938,3.6626287,0.063291186,UVOT
U,58815.27063,2.5594357,0.042744774,UVOT
B,58815.27198,1.5009187,0.02398563,UVOT
W2,58816.18314,5.0312896,0.064418296,UVOT
V,58816.18607,1.17029596,0.020067386,UVOT
HX,58816.18671,0.8621,0.054274,XRT
SX,58816.18671,0.5156,0.042028,XRT
M2,58816.18784,4.32308,0.0888927,UVOT
W1,58816.18904,3.661927,0.064464083,UVOT
U,58816.19023,2.6079775,0.044198735,UVOT
B,58816.19148,1.4714534,0.024334415,UVOT
W2,58817.24634,5.1036537,0.066155015,UVOT
V,58817.24911,1.1655324,0.020334699,UVOT
HX,58817.24995,0.879034,0.059898,XRT
SX,58817.24995,0.498995,0.045168,XRT
M2,58817.25079,4.351773,0.09124618,UVOT
W1,58817.25192,3.6952988,0.06614888,UVOT
U,58817.25306,2.5031062,0.04315824,UVOT
B,58817.25448,1.485858,0.022408344,UVOT
W2,58818.24847,5.238454,0.063725105,UVOT
V,58818.25202,1.1533892,0.018661934,UVOT
HX,58818.25287,0.782296,0.047113,XRT
SX,58818.25287,0.382198,0.032876,XRT
M2,58818.25417,4.3252833,0.08254119,UVOT
W1,58818.25563,3.728684,0.06090078,UVOT
U,58818.25707,2.595875,0.041479542,UVOT
B,58818.25864,1.5343461,0.023013673,UVOT
W2,58819.24415,5.197671,0.06297453,UVOT
V,58819.24779,1.2041606,0.01917265,UVOT
HX,58819.24859,0.996991,0.051743,XRT
SX,58819.24859,0.454273,0.034927,XRT
M2,58819.25,4.4489118,0.083544866,UVOT
W1,58819.25149,3.8103523,0.06145654,UVOT
U,58819.25297,2.5979468,0.04122469,UVOT
B,58819.25451,1.4974814,0.022900663,UVOT
W2,58820.43864,5.1990947,0.06410864,UVOT
V,58820.44201,1.1917256,0.019443148,UVOT
HX,58820.4428,1.04104,0.08191,XRT
SX,58820.4428,0.565247,0.060154,XRT
U,58820.44678,2.6219886,0.04259715,UVOT
B,58820.44826,1.48092,0.022688614,UVOT
W2,58821.1687,5.199359,0.066657247,UVOT
V,58821.17155,1.1886776,0.020407213,UVOT
HX,58821.17222,0.9412,0.057328,XRT
SX,58821.17222,0.54117,0.043477,XRT
M2,58821.17328,4.4144125,0.09092353,UVOT
W1,58821.17445,3.695653,0.06541589,UVOT
U,58821.17562,2.5674121,0.04379633,UVOT
B,58821.17687,1.5002014,0.024420124,UVOT
W2,58822.16435,5.13059,0.06693242,UVOT
V,58822.16702,1.16067375,0.020403569,UVOT
HX,58822.16767,0.990583,0.050062,XRT
SX,58822.16767,0.500126,0.035542,XRT
M2,58822.16864,4.473172,0.09402542,UVOT
W1,58822.16976,3.6897656,0.066820216,UVOT
U,58822.17086,2.5524784,0.04441311,UVOT
B,58822.17204,1.52658,0.025212222,UVOT
W2,58823.09564,5.230094,0.068304425,UVOT
V,58823.09826,1.2025858,0.021049669,UVOT
HX,58823.09896,0.944469,0.048157,XRT
SX,58823.09896,0.467485,0.033895,XRT
M2,58823.09986,4.5339858,0.09576042,UVOT
W1,58823.10094,3.6941167,0.06739703,UVOT
U,58823.10202,2.5894273,0.045343193,UVOT
B,58823.10324,1.4993498,0.024166268,UVOT
W2,58824.62708,5.0510123,0.07915638,UVOT
V,58824.62853,1.2003428,0.025904165,UVOT
HX,58824.62856,0.896887,0.065118,XRT
SX,58824.62856,0.450127,0.046144,XRT
M2,58824.62942,4.479534,0.12158258,UVOT
W1,58824.63004,3.6636028,0.08497977,UVOT
U,58824.63066,2.548966,0.05503687,UVOT
W2,58827.95208,4.9951976,0.064918336,UVOT
V,58827.95484,1.1631457,0.020261794,UVOT
HX,58827.95526,0.967563,0.054209,XRT
SX,58827.95526,0.485885,0.0384,XRT
M2,58827.95651,4.3322652,0.09080659,UVOT
W1,58827.95765,3.5960865,0.06475106,UVOT
U,58827.95878,2.554663,0.044007472,UVOT
B,58827.95976,1.4767315,0.02901966,UVOT
W2,58828.95066,4.9232713,0.0631483,UVOT
V,58828.95359,1.1654883,0.019904777,UVOT
HX,58828.95415,0.8826,0.074919,XRT
SX,58828.95415,0.506441,0.056784,XRT
M2,58828.95537,4.34004,0.088778826,UVOT
W1,58828.95658,3.6474357,0.064003054,UVOT
U,58828.95779,2.5626762,0.04330902,UVOT
B,58828.95894,1.4852802,0.02607266,UVOT
W2,58829.47647,5.1036876,0.06318159,UVOT
V,58829.47981,1.1771211,0.019295921,UVOT
HX,58829.48047,1.077821,0.071843,XRT
SX,58829.48047,0.504648,0.049204,XRT
M2,58829.48182,4.4070904,0.085729496,UVOT
W1,58829.48318,3.654097,0.061346806,UVOT
U,58829.48453,2.5790996,0.04202737,UVOT
B,58829.48589,1.4959622,0.02423386,UVOT
W2,58830.80456,5.2163104,0.06501895,UVOT
V,58830.80774,1.1938632,0.019743934,UVOT
HX,58830.80811,0.876135,0.046602,XRT
SX,58830.80811,0.444221,0.033369,XRT
M2,58830.80967,4.48024,0.08811976,UVOT
W1,58830.81097,3.7072464,0.062969033,UVOT
U,58830.81227,2.6622513,0.04391283,UVOT
B,58830.81328,1.5039836,0.030916517,UVOT
W2,58831.33497,5.2865332,0.06656825,UVOT
V,58831.338,1.1750455,0.019820866,UVOT
HX,58831.33829,1.055896,0.070138,XRT
SX,58831.33829,0.490496,0.047788,XRT
M2,58831.33984,4.4936246,0.08999593,UVOT
W1,58831.34108,3.678806,0.063735735,UVOT
U,58831.34232,2.622188,0.043891275,UVOT
B,58831.34322,1.4936936,0.034345325,UVOT
W2,58832.67171,5.2472803,0.0647476,UVOT
V,58832.67503,1.1646806,0.019156026,UVOT
HX,58832.67567,1.031847,0.05772,XRT
SX,58832.67567,0.565816,0.042874,XRT
M2,58832.67704,4.5718796,0.08804146,UVOT
W1,58832.6784,3.7538562,0.062672587,UVOT
U,58832.67975,2.6182856,0.042646063,UVOT
B,58832.68107,1.5112288,0.025055086,UVOT
W2,58833.32609,5.2939857,0.067067206,UVOT
V,58833.32903,1.1919767,0.020183231,UVOT
HX,58833.32935,1.153788,0.083575,XRT
SX,58833.32935,0.6392,0.062231,XRT
M2,58833.33081,4.581475,0.09223915,UVOT
W1,58833.33202,3.7363382,0.06515005,UVOT
U,58833.33323,2.61091,0.044089155,UVOT
B,58833.33416,1.5565438,0.033523658,UVOT
HX,58834.32889,0.947096,0.13447,XRT
SX,58834.32889,0.457768,0.094085,XRT
W2,58834.32894,5.172079,0.08813545,UVOT
W2,58835.71955,5.3363926,0.06716716,UVOT
V,58835.72256,1.1937953,0.020095802,UVOT
HX,58835.72328,1.063025,0.079639,XRT
SX,58835.72328,0.649152,0.06253,XRT
M2,58835.72438,4.698165,0.0932346,UVOT
U,58835.72683,2.6126287,0.043855684,UVOT
B,58835.72819,1.5321769,0.023983905,UVOT
W2,58836.64946,5.3579354,0.06605308,UVOT
HX,58836.65344,1.329388,0.065624,XRT
SX,58836.65344,0.745548,0.04914,XRT
M2,58836.65476,4.6373858,0.08929121,UVOT
W1,58836.65611,3.8413798,0.064078683,UVOT
W2,58837.58495,5.5046167,0.069036256,UVOT
V,58837.58797,1.2146223,0.020381534,UVOT
HX,58837.58864,1.003132,0.056035,XRT
SX,58837.58864,0.587018,0.042928,XRT
M2,58837.58978,4.6723106,0.09297429,UVOT
W1,58837.59102,3.8820492,0.066731373,UVOT
U,58837.59225,2.6812967,0.044984485,UVOT
B,58837.59353,1.5399296,0.024937627,UVOT
W2,58838.37036,5.6838303,0.07036071,UVOT
V,58838.37348,1.2194925,0.020212026,UVOT
HX,58838.37401,0.992619,0.056372,XRT
SX,58838.37401,0.468294,0.038781,XRT
M2,58838.37537,4.7111857,0.09221691,UVOT
W1,58838.37664,3.921876,0.066357334,UVOT
U,58838.37792,2.7624695,0.04579616,UVOT
B,58838.37909,1.6151182,0.028209747,UVOT
W2,58839.84037,5.688658,0.0748017,UVOT
HX,58839.84262,1.137395,0.070339,XRT
SX,58839.84262,0.538019,0.048386,XRT
V,58839.84281,1.2197897,0.021814395,UVOT
M2,58839.84429,4.892781,0.10407104,UVOT
W1,58839.8453,3.9856763,0.073481003,UVOT
U,58839.8463,2.7930191,0.04995525,UVOT
W2,58840.22577,5.69087,0.072089174,UVOT
V,58840.22861,1.2162854,0.020792582,UVOT
HX,58840.22923,1.302873,0.087111,XRT
SX,58840.22923,0.625132,0.060452,XRT
M2,58840.23033,4.900118,0.09842979,UVOT
W1,58840.23149,4.0158188,0.070134185,UVOT
U,58840.23265,2.681201,0.045828093,UVOT
B,58840.23386,1.5711679,0.026044265,UVOT
W2,58841.48923,5.821865,0.07267621,UVOT
V,58841.49219,1.2330453,0.020685943,UVOT
HX,58841.49286,0.991364,0.080875,XRT
SX,58841.49286,0.520034,0.058458,XRT
M2,58841.49398,5.0367462,0.09839783,UVOT
W1,58841.4952,4.062565,0.069435113,UVOT
U,58841.49641,2.857899,0.048071507,UVOT
B,58841.4977,1.5974418,0.025677317,UVOT
W2,58842.36187,5.918574,0.07129933,UVOT
V,58842.36534,1.2074521,0.019495034,UVOT
HX,58842.36619,1.162909,0.078483,XRT
SX,58842.36619,0.488536,0.050967,XRT
M2,58842.36744,5.13208,0.09442227,UVOT
W1,58842.36886,4.076517,0.06605748,UVOT
U,58842.37027,2.8093577,0.04515332,UVOT
B,58842.37183,1.583365,0.023582107,UVOT
W2,58843.68645,5.977054,0.07199167,UVOT
V,58843.6899,1.2387854,0.019895934,UVOT
HX,58843.69064,1.348167,0.09494,XRT
SX,58843.69064,0.550259,0.060728,XRT
M2,58843.69198,5.1032566,0.09432465,UVOT
W1,58843.69339,4.1415994,0.067088646,UVOT
U,58843.69479,2.8260314,0.04552948,UVOT
B,58843.69624,1.5997442,0.024925646,UVOT
W2,58844.41788,5.805923,0.06954458,UVOT
V,58844.42148,1.21685795,0.019417445,UVOT
HX,58844.42228,1.275302,0.076915,XRT
SX,58844.42228,0.616816,0.05347,XRT
M2,58844.42366,5.064871,0.09216831,UVOT
W1,58844.42514,3.9499735,0.06348735,UVOT
U,58844.42661,2.7957684,0.044416327,UVOT
B,58844.42813,1.6195424,0.024605238,UVOT
W2,58845.67952,5.8508455,0.070873253,UVOT
HX,58845.68268,1.199722,0.069197,XRT
SX,58845.68268,0.543102,0.046629,XRT
V,58845.68291,1.1892576,0.019352912,UVOT
M2,58845.68496,4.9487595,0.09268828,UVOT
W1,58845.68634,4.0730318,0.06654597,UVOT
U,58845.68749,2.775972,0.051224196,UVOT
W2,58846.28017,5.775529,0.070877674,UVOT
V,58846.2834,1.2501104,0.020436934,UVOT
HX,58846.28405,1.184741,0.077777,XRT
SX,58846.28405,0.59851,0.055392,XRT
M2,58846.28535,4.9614623,0.09443499,UVOT
W1,58846.28668,3.9913073,0.066483674,UVOT
U,58846.288,2.8214125,0.046265474,UVOT
B,58846.28935,1.5498341,0.02486647,UVOT
W2,58847.59634,5.5781053,0.067862803,UVOT
V,58847.59975,1.1980941,0.019466976,UVOT
HX,58847.60011,1.019175,0.046431,XRT
SX,58847.60011,0.511948,0.03292,XRT
M2,58847.60182,4.7251953,0.08927859,UVOT
W1,58847.60322,4.0018183,0.065368905,UVOT
U,58847.60461,2.7418514,0.044291154,UVOT
B,58847.60566,1.535142,0.03206449,UVOT
W2,58848.40385,5.6946764,0.06835173,UVOT
V,58848.40745,1.2196256,0.019428507,UVOT
HX,58848.40831,1.134899,0.056233,XRT
SX,58848.40831,0.56749,0.039897,XRT
M2,58848.40963,4.706015,0.08734071,UVOT
W1,58848.41111,3.9799676,0.06382173,UVOT
U,58848.41258,2.7241994,0.04328858,UVOT
B,58848.41418,1.5502216,0.023073884,UVOT
W2,58849.46061,5.395278,0.0667261,UVOT
V,58849.46385,1.2115003,0.019902197,UVOT
HX,58849.4646,1.01212,0.05054,XRT
SX,58849.4646,0.566085,0.037924,XRT
M2,58849.46582,4.6336924,0.0898841,UVOT
W1,58849.46714,3.9344474,0.06572263,UVOT
U,58849.46846,2.7353579,0.04486792,UVOT
B,58849.46986,1.5544637,0.024353526,UVOT
W2,58850.32591,5.562195,0.069515083,UVOT
V,58850.32895,1.2272836,0.020537621,UVOT
HX,58850.32959,0.900522,0.049939,XRT
SX,58850.32959,0.508645,0.037565,XRT
M2,58850.33079,4.8130855,0.09453954,UVOT
W1,58850.33204,3.9550313,0.067494995,UVOT
B,58850.33453,1.5961936,0.026116472,UVOT
W2,58851.38883,5.4156705,0.06707893,UVOT
V,58851.39205,1.2151996,0.020002928,UVOT
HX,58851.3926,1.02085,0.073635,XRT
SX,58851.3926,0.590825,0.056099,XRT
U,58851.39662,2.6602737,0.043777347,UVOT
B,58851.39782,1.5590873,0.027140696,UVOT
W2,58852.38332,5.419933,0.06628209,UVOT
V,58852.38671,1.2391587,0.02000466,UVOT
HX,58852.38734,0.838393,0.050394,XRT
SX,58852.38734,0.471457,0.03763,XRT
M2,58852.38877,4.6767515,0.08869481,UVOT
W1,58852.39016,3.981203,0.06515751,UVOT
B,58852.39288,1.5560949,0.025722485,UVOT
W2,58853.51431,5.2610954,0.066636124,UVOT
V,58853.5173,1.2078223,0.020378747,UVOT
HX,58853.51791,0.994346,0.086684,XRT
SX,58853.51791,0.597702,0.067397,XRT
M2,58853.5191,4.6687785,0.09327075,UVOT
W1,58853.52032,3.8814248,0.06699337,UVOT
U,58853.52154,2.6996592,0.045428796,UVOT
B,58853.52276,1.573605,0.026246991,UVOT
W2,58854.51106,5.3515914,0.06600894,UVOT
V,58854.51436,1.2132755,0.019839807,UVOT
HX,58854.5148,1.064511,0.053747,XRT
SX,58854.5148,0.500507,0.036846,XRT
M2,58854.51635,4.6993422,0.09014418,UVOT
W1,58854.5177,3.7825232,0.063265547,UVOT
U,58854.51904,2.7059287,0.04416335,UVOT
B,58854.52015,1.5846436,0.029976827,UVOT
W2,58855.03168,5.3551795,0.067788354,UVOT
V,58855.03462,1.2105328,0.020490218,UVOT
HX,58855.03529,1.095356,0.060822,XRT
SX,58855.03529,0.520836,0.041943,XRT
M2,58855.03641,4.6871212,0.09380754,UVOT
W1,58855.03762,3.849125,0.066771454,UVOT
U,58855.03883,2.67113,0.04510488,UVOT
B,58855.04008,1.5315228,0.025141193,UVOT
W2,58856.10298,5.3111107,0.06735326,UVOT
V,58856.10591,1.2119384,0.020498608,UVOT
HX,58856.10636,0.960985,0.064074,XRT
SX,58856.10636,0.621151,0.051495,XRT
M2,58856.10769,4.4320562,0.09019523,UVOT
W1,58856.1089,3.623555,0.06363024,UVOT
U,58856.1101,2.6775824,0.045196625,UVOT
B,58856.11113,1.570945,0.030034015,UVOT
W2,58857.42907,5.2732307,0.064252574,UVOT
V,58857.43258,1.16572765,0.018894737,UVOT
HX,58857.43345,0.994551,0.0528,XRT
SX,58857.43345,0.543834,0.039085,XRT
M2,58857.43472,4.5381952,0.0858118,UVOT
W1,58857.43616,3.7049086,0.06074592,UVOT
U,58857.4376,2.605251,0.04172764,UVOT
B,58857.43918,1.5231563,0.02274206,UVOT
W2,58858.34682,5.1896194,0.064719723,UVOT
V,58858.35,1.1961423,0.019937391,UVOT
HX,58858.35077,0.847148,0.043028,XRT
SX,58858.35077,0.505324,0.033202,XRT
M2,58858.35192,4.6353773,0.09057155,UVOT
W1,58858.35322,3.7219875,0.063192295,UVOT
U,58858.35452,2.6545559,0.04388405,UVOT
B,58858.35595,1.5332233,0.023788526,UVOT
W2,58859.35401,5.1620278,0.062720434,UVOT
V,58859.35763,1.2082096,0.019290146,UVOT
HX,58859.3584,1.032011,0.054781,XRT
SX,58859.3584,0.518106,0.038858,XRT
M2,58859.35982,4.2706632,0.081352946,UVOT
W1,58859.36129,3.8018017,0.061533423,UVOT
U,58859.36276,2.6134812,0.041570559,UVOT
B,58859.36427,1.5451074,0.023902788,UVOT
W2,58860.21607,5.0816573,0.061945637,UVOT
V,58860.21966,1.2141093,0.019404544,UVOT
HX,58860.22034,0.909444,0.040497,XRT
SX,58860.22034,0.526181,0.030765,XRT
M2,58860.22183,4.457739,0.084139843,UVOT
W1,58860.22329,3.691956,0.06025478,UVOT
U,58860.22476,2.590247,0.041302658,UVOT
B,58860.22616,1.514468,0.024523136,UVOT
W2,58861.00456,5.129618,0.065503255,UVOT
HX,58861.00687,0.84985,0.061331,XRT
SX,58861.00687,0.505049,0.047441,XRT
V,58861.00747,1.18738264,0.020326243,UVOT
M2,58861.00923,4.5674226,0.09248529,UVOT
W1,58861.01043,3.78668,0.066093436,UVOT
U,58861.01162,2.6490649,0.04494527,UVOT
B,58861.01293,1.5602811,0.024776447,UVOT
W2,58869.83792,5.590597,0.067289356,UVOT
V,58869.84152,1.2023462,0.019553678,UVOT
HX,58869.84237,1.155602,0.067923,XRT
SX,58869.84237,0.619221,0.049769,XRT
M2,58869.8437,4.7134338,0.08748137,UVOT
W1,58869.84517,3.9540582,0.06353638,UVOT
U,58869.84664,2.7516214,0.043815455,UVOT
B,58869.84822,1.5829562,0.023743128,UVOT
W2,58872.03088,5.564307,0.069064435,UVOT
V,58872.03397,1.1985442,0.02047212,UVOT
HX,58872.03448,0.884982,0.045333,XRT
SX,58872.03448,0.545409,0.035491,XRT
M2,58872.03584,4.8752486,0.094553,UVOT
W1,58872.03711,4.0350505,0.068068923,UVOT
U,58872.03837,2.8148187,0.046903184,UVOT
B,58872.03952,1.5620348,0.02783634,UVOT
W2,58878.87862,5.2460027,0.066127947,UVOT
V,58878.88165,1.2014229,0.020175662,UVOT
HX,58878.88233,0.877222,0.069537,XRT
SX,58878.88233,0.49802,0.052485,XRT
M2,58878.88349,4.5924483,0.09143002,UVOT
W1,58878.88473,3.8059254,0.06547524,UVOT
U,58878.88597,2.702807,0.04522073,UVOT
B,58878.88727,1.5792572,0.02536812,UVOT
W2,58879.87596,5.2530087,0.06490933,UVOT
V,58879.87928,1.1995449,0.019648704,UVOT
HX,58879.87988,0.898956,0.067981,XRT
SX,58879.87988,0.534566,0.052526,XRT
M2,58879.88129,4.572418,0.088140284,UVOT
W1,58879.88265,3.8277876,0.063713903,UVOT
U,58879.884,2.6371033,0.042960116,UVOT
B,58879.88527,1.5223926,0.025818215,UVOT
W2,58883.45739,5.230452,0.066469254,UVOT
V,58883.46033,1.2093052,0.02060752,UVOT
HX,58883.46098,0.94194,0.05283,XRT
SX,58883.46098,0.523382,0.039312,XRT
M2,58883.46212,4.5984758,0.09260375,UVOT
W1,58883.46334,3.8016377,0.06615546,UVOT
U,58883.46454,2.6029556,0.043985566,UVOT
B,58883.46578,1.5297076,0.02523507,UVOT
W2,58884.45763,5.2164666,0.0655252,UVOT
V,58884.46072,1.2028606,0.02012548,UVOT
HX,58884.46131,0.63817,0.052111,XRT
SX,58884.46131,0.453401,0.041675,XRT
M2,58884.46259,4.5884913,0.09065762,UVOT
W1,58884.46386,3.783551,0.064811033,UVOT
U,58884.46513,2.7163127,0.04518953,UVOT
B,58884.46644,1.5232529,0.024693292,UVOT
HX,58885.58062,0.378137,0.120862,XRT
SX,58885.58062,0.644868,0.156993,XRT
W2,58886.04657,5.0811348,0.063913136,UVOT
HX,58886.04824,0.74514,0.049086,XRT
SX,58886.04824,0.508165,0.040597,XRT
V,58886.04967,1.1987822,0.020080167,UVOT
M2,58886.05139,4.4947122,0.10081617,UVOT
W2,58887.37813,5.1676918,0.06617712,UVOT
V,58887.381,1.1784042,0.020235923,UVOT
HX,58887.38179,0.982681,0.058896,XRT
SX,58887.38179,0.554695,0.044276,XRT
M2,58887.38273,4.5660026,0.093174,UVOT
W1,58887.38391,3.888079,0.068053057,UVOT
U,58887.38507,2.683846,0.04573433,UVOT
B,58887.38646,1.5591207,0.023772117,UVOT
W2,58888.44091,5.3249306,0.066131097,UVOT
V,58888.44412,1.18311665,0.019649417,UVOT
HX,58888.44467,1.032131,0.061552,XRT
SX,58888.44467,0.571268,0.045928,XRT
M2,58888.44606,4.75478,0.09181786,UVOT
W1,58888.44738,3.7952412,0.064069884,UVOT
U,58888.44868,2.682864,0.044150557,UVOT
B,58888.4499,1.6090475,0.027862638,UVOT
W2,58889.03332,5.390978,0.06870165,UVOT
V,58889.03619,1.20588066,0.020745084,UVOT
HX,58889.03751,1.142549,0.059826,XRT
SX,58889.03751,0.535578,0.041053,XRT
M2,58889.03793,4.6541293,0.0945221,UVOT
W1,58889.0391,3.9031546,0.06838246,UVOT
U,58889.04027,2.6819094,0.045757016,UVOT
B,58889.04218,1.5533624,0.020452526,UVOT
W2,58890.29141,5.4621262,0.09392347,UVOT
V,58890.29249,1.1726417,0.02955622,UVOT
HX,58890.29279,1.064043,0.099192,XRT
SX,58890.29279,0.586434,0.073733,XRT
M2,58890.29316,4.8954005,0.148099,UVOT
W1,58890.29363,3.8821993,0.10175495,UVOT
U,58890.29409,2.7182771,0.066814705,UVOT
B,58890.29461,1.525046,0.035934486,UVOT
HX,58890.35883,1.098347,0.099659,XRT
SX,58890.35883,0.52905,0.069086,XRT
W2,58890.424,5.2999295,0.09905926,UVOT
V,58890.42488,1.2040133,0.033232382,UVOT
HX,58890.42512,1.012978,0.088141,XRT
SX,58890.42512,0.534657,0.064266,XRT
M2,58890.42543,5.0923794,0.167631,UVOT
W1,58890.42582,3.903656,0.1126792,UVOT
U,58890.4262,2.7403271,0.07386386,UVOT
B,58890.42661,1.4707716,0.03929315,UVOT
W2,58891.56489,5.5788466,0.06907405,UVOT
V,58891.56805,1.207794,0.020057812,UVOT
HX,58891.56849,1.295451,0.073889,XRT
SX,58891.56849,0.592338,0.050067,XRT
M2,58891.56998,4.7470925,0.09205937,UVOT
W1,58891.57128,3.904345,0.065809055,UVOT
U,58891.57255,2.7824444,0.04659517,UVOT
B,58891.5736,1.5436918,0.028928933,UVOT
V,58893.49171,1.2127517,0.019879674,UVOT
HX,58893.49235,1.174727,0.078105,XRT
SX,58893.49235,0.584068,0.055156,XRT
U,58893.49643,2.7469941,0.0447272,UVOT
B,58893.49774,1.5894077,0.026228637,UVOT
HX,58894.3562,1.127062,0.068289,XRT
SX,58894.3562,0.574435,0.048746,XRT
W2,58895.54885,5.893872,0.072488026,UVOT
V,58895.55201,1.2149622,0.020118635,UVOT
HX,58895.55248,0.757141,0.042294,XRT
SX,58895.55248,0.345886,0.028606,XRT
M2,58895.55392,5.075009,0.09699663,UVOT
W1,58895.55521,4.0198374,0.067553207,UVOT
U,58895.55649,2.7581754,0.04561705,UVOT
B,58895.55761,1.585454,0.029068583,UVOT
W2,58896.40754,5.923347,0.07207553,UVOT
V,58896.41085,1.210124,0.019846118,UVOT
HX,58896.41164,0.86959,0.050218,XRT
SX,58896.41164,0.419994,0.034925,XRT
M2,58896.41285,5.0408767,0.09475585,UVOT
W1,58896.41422,4.122535,0.06765317,UVOT
U,58896.41557,2.7820421,0.04528943,UVOT
B,58896.41703,1.6319658,0.024916083,UVOT
W2,58897.92561,5.764074,0.07290398,UVOT
V,58897.92844,1.2205198,0.020935225,UVOT
HX,58897.92915,0.843577,0.054951,XRT
SX,58897.92915,0.388835,0.036423,XRT
M2,58897.93015,5.028382,0.10028244,UVOT
W1,58897.93132,4.0981334,0.07130458,UVOT
U,58897.93247,2.8293955,0.048414487,UVOT
B,58897.93376,1.6142874,0.025505742,UVOT
W2,58898.1246,5.764485,0.07120941,UVOT
V,58898.12774,1.2249342,0.020356671,UVOT
HX,58898.12821,0.860678,0.043457,XRT
SX,58898.12821,0.422928,0.030431,XRT
M2,58898.12965,4.9570543,0.09532065,UVOT
W1,58898.13093,4.1122782,0.068814714,UVOT
U,58898.13222,2.8051954,0.04645306,UVOT
B,58898.13333,1.6119042,0.030080228,UVOT
W2,58899.32843,5.893339,0.07081448,UVOT
V,58899.33196,1.2252133,0.01968731,UVOT
HX,58899.33278,0.912436,0.054814,XRT
SX,58899.33278,0.48744,0.040161,XRT
M2,58899.33409,5.0679638,0.0931133,UVOT
W1,58899.33553,4.1401436,0.06652793,UVOT
U,58899.33696,2.79364,0.044704975,UVOT
B,58899.33851,1.6257161,0.024387227,UVOT
W2,58900.19045,5.952517,0.0726983,UVOT
V,58900.1937,1.2221155,0.020139806,UVOT
HX,58900.19444,1.077316,0.057059,XRT
SX,58900.19444,0.490268,0.03858,XRT
M2,58900.19567,5.144076,0.0967713,UVOT
W1,58900.19701,4.1723535,0.06880218,UVOT
U,58900.19834,2.7763533,0.045442545,UVOT
B,58900.19973,1.6286389,0.02558125,UVOT
W2,58907.95707,5.85617,0.070074607,UVOT
V,58907.96067,1.2191601,0.019524001,UVOT
HX,58907.96167,1.32247,0.064798,XRT
SX,58907.96167,0.623122,0.044529,XRT
M2,58907.96285,5.0181484,0.09163994,UVOT
W1,58907.96432,4.0908595,0.065321217,UVOT
U,58907.96579,2.77363,0.044148127,UVOT
B,58907.96752,1.6681104,0.02366263,UVOT
W2,58911.47262,5.233955,0.07600171,UVOT
V,58911.47444,1.22039635,0.024419438,UVOT
