Band,MJD,Flux,Error,Telescope
U,58451.37014,1.9659692,0.042758152,UVOT
B,58451.37078,1.2004909,0.027448878,UVOT
HX,58451.37233,0.750284,0.053686,XRT
SX,58451.37233,0.400962,0.039334,XRT
W2,58451.37233,3.6670218,0.055339897,UVOT
V,58451.37386,0.9624843,0.029094015,UVOT
M2,58451.37517,3.064127,0.05731968,UVOT
U,58452.97057,2.0063476,0.04696074,UVOT
B,58452.97111,1.16409474,0.029125043,UVOT
HX,58452.97227,0.833406,0.055672,XRT
SX,58452.97227,0.424789,0.039678,XRT
W2,58452.9724,3.588093,0.05780633,UVOT
V,58452.97368,0.9834466,0.032131046,UVOT
W1,58453.89812,2.7277603,0.054634303,UVOT
U,58453.8989,1.9909589,0.0466493,UVOT
B,58453.89943,1.1693657,0.02923373,UVOT
W2,58453.90072,3.4803737,0.056538703,UVOT
HX,58453.90074,0.736545,0.051932,XRT
SX,58453.90074,0.364524,0.036594,XRT
V,58453.902,1.040597,0.033331347,UVOT
M2,58453.90311,3.151229,0.06195324,UVOT
W1,58454.22198,2.6415414,0.05131652,UVOT
U,58454.22284,1.9488329,0.04382747,UVOT
B,58454.22344,1.18372024,0.028125737,UVOT
HX,58454.22479,0.796377,0.051867,XRT
SX,58454.22479,0.453729,0.039198,XRT
W2,58454.22486,3.590962,0.055979275,UVOT
V,58454.22627,0.9993974,0.030891075,UVOT
M2,58454.22741,3.105449,0.061564816,UVOT
W1,58455.21895,2.6687794,0.04776897,UVOT
U,58455.22002,1.9710347,0.04084744,UVOT
B,58455.22074,1.1946434,0.025926932,UVOT
W2,58455.22248,3.5944406,0.052448254,UVOT
HX,58455.22252,0.906052,0.071475,XRT
SX,58455.22252,0.400265,0.047524,XRT
V,58455.22421,1.0055225,0.028312404,UVOT
M2,58455.22572,3.065451,0.054475966,UVOT
W1,58456.55431,2.4842241,0.053732747,UVOT
U,58456.55501,1.9004358,0.04669361,UVOT
B,58456.5555,1.1528717,0.03025819,UVOT
HX,58456.55663,0.668808,0.052217,XRT
SX,58456.55663,0.375176,0.039077,XRT
W2,58456.55666,3.286333,0.056537517,UVOT
V,58456.5578,0.9880052,0.03372807,UVOT
M2,58456.55877,2.992223,0.063634134,UVOT
W1,58457.33868,2.729167,0.04919184,UVOT
U,58457.33972,1.9448944,0.041128646,UVOT
B,58457.34042,1.1249509,0.025541196,UVOT
HX,58457.34211,0.568136,0.053447,XRT
SX,58457.34211,0.429059,0.046301,XRT
W2,58457.34211,3.4792973,0.051567853,UVOT
V,58457.34379,1.0057472,0.028757618,UVOT
M2,58457.34522,3.0220723,0.054925825,UVOT
W1,58458.4785,2.6638885,0.05050142,UVOT
U,58458.47941,2.0414366,0.044483894,UVOT
B,58458.48004,1.1437644,0.026649809,UVOT
HX,58458.48117,0.566577,0.047749,XRT
SX,58458.48117,0.336732,0.036913,XRT
W2,58458.48155,3.3128024,0.051565857,UVOT
